"Date","Site","Depth","NH4_interp","NO3NO2_interp","SRP_interp","NO3NO2inf_interp","NH4inf_interp","SRPinf_interp"
2013-06-27,50,0.1,7,6,3,91,0,15
2013-06-27,50,0.8,5,9,4,91,0,15
2013-06-27,50,1.6,4,8,4,91,0,15
2013-06-27,50,2.8,0,8,3,91,0,15
2013-06-27,50,3.8,12,20,2,91,0,15
2013-06-27,50,5,33,18,3,91,0,15
2013-06-27,50,5.2,NA,NA,NA,NA,NA,NA
2013-06-27,50,5.5,NA,NA,NA,NA,NA,NA
2013-06-27,50,5.8,NA,NA,NA,NA,NA,NA
2013-06-27,50,6,NA,NA,NA,NA,NA,NA
2013-06-27,50,6.2,34,16,4,91,0,15
2013-06-27,50,8,38,17,6,91,0,15
2013-06-27,50,9,NA,NA,NA,NA,NA,NA
2013-06-27,50,9.3,NA,NA,NA,NA,NA,NA
2013-07-03,50,0.1,20,26,4,30,12,11
2013-07-03,50,0.8,25,13,4,30,12,11
2013-07-03,50,1.6,5,9,4,30,12,11
2013-07-03,50,2.8,6,15,3,30,12,11
2013-07-03,50,3.8,16,42,2,30,12,11
2013-07-03,50,5,43,24,8,30,12,11
2013-07-03,50,5.2,NA,NA,NA,NA,NA,NA
2013-07-03,50,5.5,NA,NA,NA,NA,NA,NA
2013-07-03,50,5.8,NA,NA,NA,NA,NA,NA
2013-07-03,50,6,NA,NA,NA,NA,NA,NA
2013-07-03,50,6.2,31,18,0,30,12,11
2013-07-03,50,8,42,16,2,30,12,11
2013-07-03,50,9,NA,NA,NA,NA,NA,NA
2013-07-03,50,9.3,NA,NA,NA,NA,NA,NA
2013-07-11,50,0.1,25,18,4,31,11,10
2013-07-11,50,0.8,3,4,22,31,11,10
2013-07-11,50,1.6,2,4,4,31,11,10
2013-07-11,50,2.8,4,3,3,31,11,10
2013-07-11,50,3.8,9,9,4,31,11,10
2013-07-11,50,5,84,21,3,31,11,10
2013-07-11,50,5.2,NA,NA,NA,NA,NA,NA
2013-07-11,50,5.5,NA,NA,NA,NA,NA,NA
2013-07-11,50,5.8,NA,NA,NA,NA,NA,NA
2013-07-11,50,6,NA,NA,NA,NA,NA,NA
