"Date","Site","Depth","DOC_interp","DOCinf_interp"
2014-05-05,50,0.1,1.9,2
2014-05-05,50,0.8,NA,2
2014-05-05,50,1.6,NA,2
2014-05-05,50,2.8,NA,2
2014-05-05,50,3.8,NA,2
2014-05-05,50,5,1.8,2
2014-05-05,50,5.2,NA,NA
2014-05-05,50,5.5,NA,NA
2014-05-05,50,5.8,NA,NA
2014-05-05,50,6,NA,NA
2014-05-05,50,6.2,NA,2
2014-05-05,50,8,NA,2
2014-05-05,50,9,1.8,2
2014-05-05,50,9.3,NA,NA
2014-05-06,50,0.1,1.9,2
2014-05-06,50,0.8,NA,2
2014-05-06,50,1.6,NA,2
2014-05-06,50,2.8,NA,2
2014-05-06,50,3.8,NA,2
2014-05-06,50,5,1.8,2
2014-05-06,50,5.2,NA,NA
2014-05-06,50,5.5,NA,NA
2014-05-06,50,5.8,NA,NA
2014-05-06,50,6,NA,NA
2014-05-06,50,6.2,NA,2
2014-05-06,50,8,NA,2
2014-05-06,50,9,1.8,2
2014-05-06,50,9.3,NA,NA
2014-05-07,50,0.1,1.9,2
2014-05-07,50,0.8,NA,2
2014-05-07,50,1.6,NA,2
2014-05-07,50,2.8,NA,2
2014-05-07,50,3.8,NA,2
2014-05-07,50,5,1.8,2
2014-05-07,50,5.2,NA,NA
2014-05-07,50,5.5,NA,NA
2014-05-07,50,5.8,NA,NA
2014-05-07,50,6,NA,NA
2014-05-07,50,6.2,NA,2
2014-05-07,50,8,NA,2
2014-05-07,50,9,1.8,2
2014-05-07,50,9.3,NA,NA
2014-05-08,50,0.1,1.9,2
2014-05-08,50,0.8,NA,2
2014-05-08,50,1.6,NA,2
2014-05-08,50,2.8,NA,2
2014-05-08,50,3.8,NA,2
2014-05-08,50,5,1.8,2
2014-05-08,50,5.2,NA,NA
2014-05-08,50,5.5,NA,NA
2014-05-08,50,5.8,NA,NA
2014-05-08,50,6,NA,NA
2014-05-08,50,6.2,NA,2
2014-05-08,50,8,NA,2
2014-05-08,50,9,1.8,2
2014-05-08,50,9.3,NA,NA
2014-05-09,50,0.1,1.9,2
2014-05-09,50,0.8,NA,2
2014-05-09,50,1.6,NA,2
2014-05-09,50,2.8,NA,2
2014-05-09,50,3.8,NA,2
2014-05-09,50,5,1.8,2
2014-05-09,50,5.2,NA,NA
2014-05-09,50,5.5,NA,NA
2014-05-09,50,5.8,NA,NA
2014-05-09,50,6,NA,NA
2014-05-09,50,6.2,NA,2
2014-05-09,50,8,NA,2
2014-05-09,50,9,1.8,2
2014-05-09,50,9.3,NA,NA
2014-05-10,50,0.1,1.9,2
2014-05-10,50,0.8,NA,2
2014-05-10,50,1.6,NA,2
2014-05-10,50,2.8,NA,2
2014-05-10,50,3.8,NA,2
2014-05-10,50,5,1.8,2
2014-05-10,50,5.2,NA,NA
2014-05-10,50,5.5,NA,NA
2014-05-10,50,5.8,NA,NA
2014-05-10,50,6,NA,NA
2014-05-10,50,6.2,NA,2
2014-05-10,50,8,NA,2
2014-05-10,50,9,1.8,2
2014-05-10,50,9.3,NA,NA
2014-05-12,50,0.1,1.9,2
2014-05-12,50,0.8,NA,2
