"Date","Site","Depth","TNinf_interp"
2015-03-16,50,0.1,133
2015-03-16,50,0.8,185
2015-03-16,50,1.6,156
2015-03-16,50,2.8,185
2015-03-16,50,3.8,133
2015-03-16,50,5,133
2015-03-16,50,5.2,NA
2015-03-16,50,5.5,NA
2015-03-16,50,5.8,NA
2015-03-16,50,6,NA
2015-03-16,50,6.2,133
2015-03-16,50,8,133
2015-03-16,50,9,133
2015-03-16,50,9.3,NA
2015-03-31,50,0.1,156
2015-03-31,50,0.8,185
2015-03-31,50,1.6,156
2015-03-31,50,2.8,185
2015-03-31,50,3.8,156
2015-03-31,50,5,156
2015-03-31,50,5.2,NA
2015-03-31,50,5.5,NA
2015-03-31,50,5.8,NA
2015-03-31,50,6,NA
2015-03-31,50,6.2,156
2015-03-31,50,8,156
2015-03-31,50,9,156
2015-03-31,50,9.3,NA
2015-04-07,50,0.1,187
2015-04-07,50,0.8,185
2015-04-07,50,1.6,187
2015-04-07,50,2.8,185
2015-04-07,50,3.8,187
2015-04-07,50,5,187
2015-04-07,50,5.2,NA
2015-04-07,50,5.5,NA
2015-04-07,50,5.8,NA
2015-04-07,50,6,NA
2015-04-07,50,6.2,187
2015-04-07,50,8,187
2015-04-07,50,9,187
2015-04-07,50,9.3,NA
2015-04-13,50,0.1,185
2015-04-13,50,0.8,185
2015-04-13,50,1.6,185
2015-04-13,50,2.8,185
2015-04-13,50,3.8,185
2015-04-13,50,5,185
2015-04-13,50,5.2,NA
2015-04-13,50,5.5,NA
2015-04-13,50,5.8,NA
2015-04-13,50,6,NA
2015-04-13,50,6.2,185
2015-04-13,50,8,185
2015-04-13,50,9,185
2015-04-13,50,9.3,NA
2015-04-16,50,0.1,184
2015-04-16,50,0.8,181.4
2015-04-16,50,1.6,184
2015-04-16,50,2.8,184
2015-04-16,50,3.8,184
2015-04-16,50,5,184
2015-04-16,50,5.2,NA
2015-04-16,50,5.5,NA
2015-04-16,50,5.8,NA
2015-04-16,50,6,NA
2015-04-16,50,6.2,184
2015-04-16,50,8,184
2015-04-16,50,9,184
2015-04-16,50,9.3,NA
2015-04-19,50,0.1,183
2015-04-19,50,0.8,177.8
2015-04-19,50,1.6,183
2015-04-19,50,2.8,183
2015-04-19,50,3.8,183
2015-04-19,50,5,183
2015-04-19,50,5.2,NA
2015-04-19,50,5.5,NA
2015-04-19,50,5.8,NA
2015-04-19,50,6,NA
2015-04-19,50,6.2,183
2015-04-19,50,8,183
2015-04-19,50,9,183
