"Date","Site","Depth","kd_interp"
2014-08-18,50,3.8,NA
2014-08-18,50,5,NA
2014-08-18,50,5.2,NA
2014-08-18,50,5.5,NA
2014-08-18,50,5.8,NA
2014-08-18,50,6,NA
2014-08-18,50,6.2,NA
2014-08-18,50,8,NA
2014-08-18,50,9,NA
2014-08-18,50,9.3,NA
2014-08-19,50,0.1,NA
2014-08-19,50,0.8,NA
2014-08-19,50,1.6,NA
2014-08-19,50,2.8,NA
2014-08-19,50,3.8,NA
2014-08-19,50,5,NA
2014-08-19,50,5.2,NA
2014-08-19,50,5.5,NA
2014-08-19,50,5.8,NA
2014-08-19,50,6,NA
2014-08-19,50,6.2,NA
2014-08-19,50,8,NA
2014-08-19,50,9,NA
2014-08-19,50,9.3,NA
2014-08-21,50,0.1,NA
2014-08-21,50,0.8,NA
2014-08-21,50,1.6,NA
2014-08-21,50,2.8,NA
2014-08-21,50,3.8,NA
2014-08-21,50,5,NA
2014-08-21,50,5.2,NA
2014-08-21,50,5.5,NA
2014-08-21,50,5.8,NA
2014-08-21,50,6,NA
2014-08-21,50,6.2,NA
2014-08-21,50,8,NA
2014-08-21,50,9,NA
2014-08-21,50,9.3,NA
2014-08-25,50,0.1,NA
2014-08-25,50,0.8,NA
2014-08-25,50,1.6,NA
2014-08-25,50,2.8,NA
2014-08-25,50,3.8,NA
2014-08-25,50,5,NA
2014-08-25,50,5.2,NA
2014-08-25,50,5.5,NA
2014-08-25,50,5.8,NA
2014-08-25,50,6,NA
2014-08-25,50,6.2,NA
2014-08-25,50,8,NA
2014-08-25,50,9,NA
2014-08-25,50,9.3,NA
2014-08-30,50,0.1,NA
2014-08-30,50,0.8,NA
2014-08-30,50,1.6,NA
2014-08-30,50,2.8,NA
2014-08-30,50,3.8,NA
2014-08-30,50,5,NA
2014-08-30,50,5.2,NA
2014-08-30,50,5.5,NA
2014-08-30,50,5.8,NA
2014-08-30,50,6,NA
2014-08-30,50,6.2,NA
2014-08-30,50,8,NA
2014-08-30,50,9,NA
2014-08-30,50,9.3,NA
2014-09-03,50,0.1,NA
2014-09-03,50,0.8,NA
2014-09-03,50,1.6,NA
2014-09-03,50,2.8,NA
2014-09-03,50,3.8,NA
2014-09-03,50,5,NA
2014-09-03,50,5.2,NA
2014-09-03,50,5.5,NA
2014-09-03,50,5.8,NA
2014-09-03,50,6,NA
2014-09-03,50,6.2,NA
2014-09-03,50,8,NA
2014-09-03,50,9,NA
2014-09-03,50,9.3,NA
2014-09-08,50,0.1,NA
2014-09-08,50,0.8,NA
2014-09-08,50,1.6,NA
2014-09-08,50,2.8,NA
2014-09-08,50,3.8,NA
2014-09-08,50,5,NA
2014-09-08,50,5.2,NA
2014-09-08,50,5.5,NA
2014-09-08,50,5.8,NA
2014-09-08,50,6,NA
2014-09-08,50,6.2,NA
2014-09-08,50,8,NA
2014-09-08,50,9,NA
2014-09-08,50,9.3,NA
2014-09-15,50,0.1,NA
2014-09-15,50,0.8,NA
2014-09-15,50,1.6,NA
2014-09-15,50,2.8,NA
2014-09-15,50,3.8,NA
2014-09-15,50,5,NA
2014-09-15,50,5.2,NA
2014-09-15,50,5.5,NA
2014-09-15,50,5.8,NA
2014-09-15,50,6,NA
2014-09-15,50,6.2,NA
2014-09-15,50,8,NA
2014-09-15,50,9,NA
2014-09-15,50,9.3,NA
2014-09-22,50,0.1,NA
2014-09-22,50,0.8,NA
2014-09-22,50,1.6,NA
2014-09-22,50,2.8,NA
2014-09-22,50,3.8,NA
2014-09-22,50,5,NA
2014-09-22,50,5.2,NA
2014-09-22,50,5.5,NA
2014-09-22,50,5.8,NA
2014-09-22,50,6,NA
2014-09-22,50,6.2,NA
2014-09-22,50,8,NA
2014-09-22,50,9,NA
2014-09-22,50,9.3,NA
2014-09-29,50,0.1,NA
2014-09-29,50,0.8,NA
2014-09-29,50,1.6,NA
2014-09-29,50,2.8,NA
2014-09-29,50,3.8,NA
2014-09-29,50,5,NA
2014-09-29,50,5.2,NA
2014-09-29,50,5.5,NA
2014-09-29,50,5.8,NA
2014-09-29,50,6,NA
2014-09-29,50,6.2,NA
2014-09-29,50,8,NA
2014-09-29,50,9,NA
2014-09-29,50,9.3,NA
2014-10-04,50,0.1,-0.693727370340838
2014-10-04,50,0.8,-0.693727370340838
2014-10-04,50,1.6,-0.693727370340838
2014-10-04,50,2.8,-0.693727370340838
2014-10-04,50,3.8,-0.693727370340838
2014-10-04,50,5,-0.693727370340838
2014-10-04,50,5.2,-0.693727370340838
2014-10-04,50,5.5,-0.693727370340838
2014-10-04,50,5.8,-0.693727370340838
2014-10-04,50,6,-0.693727370340838
2014-10-04,50,6.2,-0.693727370340838
2014-10-04,50,8,-0.693727370340838
2014-10-04,50,9,-0.693727370340838
2014-10-04,50,9.3,-0.693727370340838
2014-10-10,50,0.1,NA
2014-10-10,50,0.8,NA
2014-10-10,50,1.6,NA
2014-10-10,50,2.8,NA
2014-10-10,50,3.8,NA
2014-10-10,50,5,NA
2014-10-10,50,5.2,NA
2014-10-10,50,5.5,NA
2014-10-10,50,5.8,NA
2014-10-10,50,6,NA
2014-10-10,50,6.2,NA
2014-10-10,50,8,NA
2014-10-10,50,9,NA
2014-10-10,50,9.3,NA
2014-10-15,50,0.1,NA
2014-10-15,50,0.8,NA
2014-10-15,50,1.6,NA
2014-10-15,50,2.8,NA
2014-10-15,50,3.8,NA
2014-10-15,50,5,NA
2014-10-15,50,5.2,NA
2014-10-15,50,5.5,NA
2014-10-15,50,5.8,NA
2014-10-15,50,6,NA
2014-10-15,50,6.2,NA
2014-10-15,50,8,NA
2014-10-15,50,9,NA
2014-10-15,50,9.3,NA
2014-10-23,50,0.1,NA
2014-10-23,50,0.8,NA
2014-10-23,50,1.6,NA
2014-10-23,50,2.8,NA
2014-10-23,50,3.8,NA
2014-10-23,50,5,NA
2014-10-23,50,5.2,NA
