"Date","Site","Depth","TP_interp"
2013-03-07,50,0.1,27
2013-03-07,50,0.8,32.3
2013-03-07,50,1.6,30.7
2013-03-07,50,2.8,35.6
2013-03-07,50,3.8,27
2013-03-07,50,5,35.6
2013-03-07,50,5.2,NA
2013-03-07,50,5.5,NA
2013-03-07,50,5.8,NA
2013-03-07,50,6,NA
2013-03-07,50,6.2,42.2
2013-03-07,50,8,47.9
2013-03-07,50,9,NA
2013-03-07,50,9.3,NA
2013-04-04,50,0.1,27
2013-04-04,50,0.8,32.3
2013-04-04,50,1.6,30.7
2013-04-04,50,2.8,35.6
2013-04-04,50,3.8,27
2013-04-04,50,5,35.6
2013-04-04,50,5.2,NA
2013-04-04,50,5.5,NA
2013-04-04,50,5.8,NA
2013-04-04,50,6,NA
2013-04-04,50,6.2,42.2
2013-04-04,50,8,47.9
2013-04-04,50,9,NA
2013-04-04,50,9.3,NA
2013-04-11,50,0.1,27
2013-04-11,50,0.8,31.1
2013-04-11,50,1.6,60.3
2013-04-11,50,2.8,45.2
2013-04-11,50,3.8,27
2013-04-11,50,5,30.1
2013-04-11,50,5.2,NA
2013-04-11,50,5.5,NA
2013-04-11,50,5.8,NA
2013-04-11,50,6,NA
2013-04-11,50,6.2,52.2
2013-04-11,50,8,41.1
2013-04-11,50,9,NA
2013-04-11,50,9.3,NA
2013-04-18,50,0.1,26
2013-04-18,50,0.8,32.1
2013-04-18,50,1.6,36.1
2013-04-18,50,2.8,24.8
2013-04-18,50,3.8,35
2013-04-18,50,5,26.4
2013-04-18,50,5.2,NA
2013-04-18,50,5.5,NA
2013-04-18,50,5.8,NA
2013-04-18,50,6,NA
2013-04-18,50,6.2,24
2013-04-18,50,8,30.3
2013-04-18,50,9,NA
2013-04-18,50,9.3,NA
2013-04-25,50,0.1,27.9
2013-04-25,50,0.8,27.9
2013-04-25,50,1.6,31.1
2013-04-25,50,2.8,49.8
2013-04-25,50,3.8,24
2013-04-25,50,5,24
2013-04-25,50,5.2,NA
2013-04-25,50,5.5,NA
2013-04-25,50,5.8,NA
2013-04-25,50,6,NA
2013-04-25,50,6.2,33.4
2013-04-25,50,8,39.6
2013-04-25,50,9,NA
2013-04-25,50,9.3,NA
2013-04-30,50,0.1,31.9
2013-04-30,50,0.8,49.35
2013-04-30,50,1.6,38.75
2013-04-30,50,2.8,36.7
2013-04-30,50,3.8,21.2
2013-04-30,50,5,23.8
2013-04-30,50,5.2,NA
2013-04-30,50,5.5,NA
2013-04-30,50,5.8,NA
2013-04-30,50,6,NA
2013-04-30,50,6.2,25.9
2013-04-30,50,8,34.25
2013-04-30,50,9,NA
2013-04-30,50,9.3,NA
2013-05-02,50,0.1,35.9
2013-05-02,50,0.8,70.8
2013-05-02,50,1.6,46.4
2013-05-02,50,2.8,23.6
