"DateTime","Depth","Observed_PHY_TCHLA","Modeled_PHY_TCHLA"
2013-05-16,0.1,0.98,1.48922750148008
2013-05-16,0.33,0.98,1.52862827952778
2013-05-16,0.67,1.1069,1.63084075299782
2013-05-16,0.8,1.3053,1.64152414444807
2013-05-16,1,2.1345,1.64179399098804
2013-05-16,1.33,2.5788,1.642239237779
2013-05-16,1.6,2.1226,1.6423265589772
2013-05-16,1.67,2.1345,1.6423265589772
2013-05-16,2,2.3844,1.6423265589772
2013-05-16,2.33,2.8208,1.6423265589772
2013-05-16,2.67,3.1342,1.6423265589772
2013-05-16,2.8,3.3326,1.6423265589772
2013-05-16,3,3.0073,1.6423265589772
2013-05-16,3.33,2.9041,1.6423265589772
2013-05-16,3.67,3.4635,1.6423265589772
2013-05-16,3.8,3.6381,1.6423265589772
2013-05-16,4,3.8444,1.6423265589772
2013-05-16,4.33,3.5825,1.6423265589772
2013-05-16,4.67,2.1979,1.64256297843649
2013-05-16,5,1.6306,1.64300079096408
2013-05-16,5.33,1.2339,1.64343860349167
2013-05-16,5.67,1.1149,1.64367920314923
2013-05-16,6,1.0672,1.64368371874407
2013-05-16,6.2,1.1625,1.64368645546822
2013-05-16,6.33,1.103,1.64368653683063
2013-05-16,6.67,1.0474,1.64368653683063
2013-05-16,7,0.9205,1.64368653683063
2013-05-16,7.33,0.8649,1.64368653683063
2013-05-16,7.67,0.9006,1.64368653683063
2013-05-16,8,0.8689,1.64368653683063
2013-05-16,8.33,0.7975,1.64368653683063
2013-05-16,8.67,0.8014,1.64368653683063
2013-05-16,9,0.7776,1.64368653683063
2013-05-16,9.3,0.9205,1.64368653683063
2013-05-21,0.1,1.448,1.13166463765629
2013-05-21,0.33,1.448,1.13166463765629
2013-05-21,0.67,2.023,1.13264867510497
2013-05-21,0.8,2.007,1.13317014998819
2013-05-21,1,3.479,1.1339724190393
2013-05-21,1.33,4.209,1.13529616297363
2013-05-21,1.6,4.031,1.16069316931851
2013-05-21,1.67,4.102,1.17031121554062
2013-05-21,2,3.908,1.21565343344483
2013-05-21,2.33,3.793,1.27883063964328
2013-05-21,2.67,3.92,1.33470608596033
2013-05-21,2.8,3.924,1.34909747808922
2013-05-21,3,3.833,1.37123808136444
2013-05-21,3.33,3.773,1.40777007676855
2013-05-21,3.67,3.781,1.42086816622326
